603	404968
1051	411337
469	413161
422	416588
140	422020
9	423089
20	433849
6	437717
511	448501
220	461332
905	463007
476	496961
81	532083
524	536002
514	549880
1	552824
22	552854
379	562869
84	567410
308	597297
149	634232
60	641971
146	674412
158	675209
150	677637
878	677779
121	726516
51	787398
171	793840
516	858146
124	887358
49	1178279
8	1309694
122	1429525
8,140	400197
49,905	400300
81,124	401453
20,49	402026
22,51	402298
51,514	402586
60,84	403057
8,1051	403628
84,171	404498
122,1051	405551
9,122	407089
8,469	407631
6,49	410156
122,469	410632
121,878	410826
149,150	410826
146,524	410966
51,146	411747
122,140	411770
51,379	413875
124,150	416631
1,124	416820
60,146	417840
51,84	418190
124,158	418686
171,878	419157
22,121	420176
49,511	421321
8,20	421471
81,516	421538
122,220	423122
146,171	424341
8,905	425879
121,514	426501
22,124	426557
121,146	428403
6,8	429299
20,122	429644
122,905	431346
124,379	431853
6,122	434354
379,516	434991
124,514	438951
8,511	439259
22,516	439369
60,171	442602
84,121	444443
51,878	444812
122,511	446709
514,516	447706
49,476	450333
84,516	450645
84,124	450756
146,516	456826
51,60	462404
49,524	462974
124,878	464637
516,878	466326
8,476	471197
124,146	478095
122,476	487930
1,49	489123
8,524	489665
60,121	491257
121,171	491980
49,81	494084
22,49	495751
51,171	498941
49,149	500449
60,124	501058
49,514	508823
49,84	509170
122,524	509634
8,81	511182
1,8	512104
60,516	512727
49,379	513813
81,122	514754
49,150	515964
49,308	520417
51,121	524036
49,158	524911
1,122	528270
8,22	530503
124,171	530808
8,514	534123
8,149	539193
8,84	539506
8,308	541685
22,122	541990
8,379	542115
122,514	544288
122,379	547301
171,516	550190
84,122	553657
8,150	559739
122,308	561212
49,146	562603
121,124	563805
8,158	569056
51,124	572463
122,149	572890
49,60	576949
121,516	582876
51,516	582962
49,878	586871
122,150	605971
122,158	607604
8,146	610431
8,60	612275
124,516	614423
8,878	621832
60,122	628989
122,878	639377
122,146	640230
49,121	656200
49,171	672542
49,51	697664
8,121	698749
121,122	720291
8,171	723175
8,51	743087
122,171	752142
49,124	753266
49,516	756934
51,122	762448
8,124	801613
8,516	819487
122,516	836156
122,124	850323
8,49	1067926
49,122	1115102
8,122	1227876
22,49,124	400372
20,49,122	400647
60,84,122	400709
51,122,514	401618
8,171,878	402919
122,124,158	402937
51,122,146	403488
49,81,516	404921
8,121,878	405171
6,8,49	405601
8,122,469	405938
8,146,171	406921
8,122,905	407110
1,122,124	407648
51,60,516	407803
6,49,122	408411
60,122,146	408582
122,171,878	408871
49,121,514	409095
121,124,171	409369
121,122,878	409829
8,51,379	409969
49,124,379	411124
8,51,84	411258
51,122,379	411874
51,84,122	413016
8,22,121	414175
122,146,171	414455
49,60,171	414721
8,121,146	414924
49,124,514	415948
22,49,516	415968
49,379,516	416130
8,22,124	416453
60,121,124	416679
8,49,511	416956
8,81,516	417190
49,146,516	418327
81,122,516	418601
22,121,122	418927
51,171,516	419439
8,20,122	419575
49,122,511	420357
49,84,124	420797
49,51,878	420818
8,121,514	421581
49,84,121	422143
8,124,379	424076
22,122,124	424120
121,122,514	425539
121,122,146	425584
49,124,146	426086
60,124,516	426645
6,8,122	426756
122,124,379	427617
121,171,516	427626
49,84,516	427684
49,514,516	428741
8,379,516	431002
8,124,514	431150
60,121,516	431367
122,379,516	432396
49,124,878	433343
8,60,171	433508
8,22,516	433598
8,51,878	434965
124,171,516	435483
8,84,124	436638
122,124,514	436698
8,84,121	436804
22,122,516	437155
51,121,124	437159
8,122,511	438013
60,122,171	438731
49,516,878	438824
49,51,60	439629
8,49,476	439660
51,122,878	439826
8,49,524	440147
84,121,122	443137
8,514,516	443171
8,146,516	443535
8,84,516	443787
49,122,476	446086
122,514,516	446136
8,124,878	446195
84,122,124	447325
84,122,516	447905
8,124,146	448964
49,122,524	449286
122,146,516	450420
8,51,60	455133
122,124,878	456879
8,516,878	457760
51,121,516	457941
51,60,122	460118
122,516,878	460837
49,121,171	463525
51,124,516	464120
8,49,149	465000
49,60,121	465140
49,51,171	465789
8,122,476	466500
122,124,146	467253
49,60,124	467273
8,49,150	469698
1,8,49	470729
8,122,524	472653
1,49,122	473049
49,122,149	477819
121,124,516	479917
8,49,81	481584
49,81,122	481701
8,49,158	483832
8,121,171	483874
49,60,516	484025
8,60,121	484066
8,22,49	485280
8,60,124	486292
49,124,171	486921
8,51,171	489563
60,121,122	489591
121,122,171	490278
8,49,308	491912
49,122,150	492118
22,49,122	492226
51,122,171	492532
60,122,124	494381
49,51,121	496435
8,49,84	496667
8,81,122	498653
1,8,122	498743
49,122,308	500185
8,49,514	500487
49,122,158	500996
8,49,379	503662
49,84,122	504284
8,60,516	505149
49,122,514	506153
49,122,379	507061
