81	532083
524	536002
514	549880
1	552824
22	552854
379	562869
84	567410
308	597297
149	634232
60	641971
146	674412
158	675209
150	677637
878	677779
121	726516
51	787398
171	793840
516	858146
124	887358
49	1178279
8	1309694
122	1429525
49,149	500449
60,124	501058
49,514	508823
49,84	509170
122,524	509634
8,81	511182
1,8	512104
60,516	512727
49,379	513813
81,122	514754
49,150	515964
49,308	520417
51,121	524036
49,158	524911
1,122	528270
8,22	530503
124,171	530808
8,514	534123
8,149	539193
8,84	539506
8,308	541685
22,122	541990
8,379	542115
122,514	544288
122,379	547301
171,516	550190
84,122	553657
8,150	559739
122,308	561212
49,146	562603
121,124	563805
8,158	569056
51,124	572463
122,149	572890
49,60	576949
121,516	582876
51,516	582962
49,878	586871
122,150	605971
122,158	607604
8,146	610431
8,60	612275
124,516	614423
8,878	621832
60,122	628989
122,878	639377
122,146	640230
49,121	656200
49,171	672542
49,51	697664
8,121	698749
121,122	720291
8,171	723175
8,51	743087
122,171	752142
49,124	753266
49,516	756934
51,122	762448
8,124	801613
8,516	819487
122,516	836156
122,124	850323
8,49	1067926
49,122	1115102
8,122	1227876
49,122,308	500185
8,49,514	500487
49,122,158	500996
8,49,379	503662
49,84,122	504284
8,60,516	505149
49,122,514	506153
49,122,379	507061
60,122,516	508912
49,171,516	511772
8,124,171	513169
8,122,149	515359
8,51,121	515834
8,122,308	520840
8,22,122	522661
122,124,171	522681
51,121,122	522795
49,121,124	525979
8,122,514	530469
8,84,122	531560
8,49,146	531900
8,122,379	533005
8,122,150	534602
49,51,124	536581
8,171,516	539655
8,122,158	542054
122,171,516	543052
49,122,146	545624
49,51,516	547231
49,121,516	548834
8,121,124	550911
8,51,124	553285
8,49,60	561618
121,122,124	561777
8,49,878	563360
51,122,124	563888
49,124,516	567412
49,122,878	568782
49,60,122	570152
8,51,516	573784
8,121,516	574996
51,122,516	578952
121,122,516	581244
8,122,146	588417
8,124,516	599234
8,122,878	600225
8,60,122	605625
122,124,516	607487
8,49,171	640616
8,49,121	642484
49,121,122	653171
49,122,171	658247
8,49,51	674483
49,51,122	685528
8,121,122	695061
8,122,171	700249
8,49,124	713925
8,51,122	731321
49,122,124	734441
8,49,516	738535
49,122,516	746940
8,122,124	786584
8,122,516	805092
8,49,122	1035314
8,60,122,516	502356
8,49,171,516	505953
8,122,124,171	507619
49,122,171,516	508727
8,51,121,122	514974
8,49,121,124	519149
8,49,122,146	520432
8,49,51,124	523160
49,121,122,124	524899
49,51,122,124	529476
8,122,171,516	533716
8,49,51,516	541826
8,49,121,516	544367
49,51,122,516	545103
49,121,122,516	547869
8,121,122,124	549587
8,49,122,878	550369
8,51,122,124	551180
8,49,60,122	558628
8,49,124,516	559199
49,122,124,516	564239
8,51,122,516	571220
8,121,122,516	573750
8,122,124,516	594475
8,49,122,171	632561
8,49,121,122	640419
8,49,51,122	669483
8,49,122,124	707037
8,49,122,516	731576
8,49,122,171,516	503451
8,49,121,122,124	518347
8,49,51,122,124	521876
8,49,51,122,516	540435
8,49,121,122,516	543574
8,49,122,124,516	557056
